technology,year,power_mw,duration,estimate_type,parameter_category,parameter,value
CAES,2030,100,4,Low,Capital Cost,"CAES Capital (Turbine, Compressor, BOP, & EPC Management) ($/kW)",945.25
CAES,2030,100,4,Low,Capital Cost,Cavern Storage ($/kWh),2.76
CAES,2030,100,4,Low,O&M Cost,Fixed O&M ($/kW-year),15.32
CAES,2030,100,4,Low,Performance,Rest Before Charge (hrs),0
CAES,2030,100,4,Low,Performance,Rest After Discharge (hrs),0
CAES,2030,100,4,Low,Performance,RTE (%),0.65
CAES,2030,100,4,Low,Performance,Calendar Life (yrs),60
CAES,2030,100,4,Low,Performance,Primary DOD (%),0.8
CAES,2030,100,4,Low,Capital Cost,Total Installed Cost ($),95629000
CAES,2030,100,4,Low,Capital Cost,Total Installed Cost ($/kW),956.29
CAES,2030,100,4,Low,Capital Cost,Total Installed Cost ($/kWh),239.07
CAES,2030,100,4,Low,LCOS,LCOS_Project_Life (yrs),60
CAES,2030,100,4,Low,LCOS,LCOS ($/kWh),0.1243
CAES,2030,100,4,Point,Capital Cost,"CAES Capital (Turbine, Compressor, BOP, & EPC Management) ($/kW)",1050.28
CAES,2030,100,4,Point,Capital Cost,Cavern Storage ($/kWh),9.99
CAES,2030,100,4,Point,O&M Cost,Fixed O&M ($/kW-year),17.02
CAES,2030,100,4,Point,Performance,Rest Before Charge (hrs),0
CAES,2030,100,4,Point,Performance,Rest After Discharge (hrs),0
CAES,2030,100,4,Point,Performance,RTE (%),0.55
CAES,2030,100,4,Point,Performance,Calendar Life (yrs),60
CAES,2030,100,4,Point,Performance,Primary DOD (%),0.8
CAES,2030,100,4,Point,Capital Cost,Total Installed Cost ($),109024000
CAES,2030,100,4,Point,Capital Cost,Total Installed Cost ($/kW),1090.24
CAES,2030,100,4,Point,Capital Cost,Total Installed Cost ($/kWh),272.56
CAES,2030,100,4,Point,LCOS,LCOS_Project_Life (yrs),60
CAES,2030,100,4,Point,LCOS,LCOS ($/kWh),0.1433
CAES,2030,100,10,High,Capital Cost,"CAES Capital (Turbine, Compressor, BOP, & EPC Management) ($/kW)",1153.83
CAES,2030,100,10,High,Capital Cost,Cavern Storage ($/kWh),16.54
CAES,2030,100,10,High,O&M Cost,Fixed O&M ($/kW-year),16.97
CAES,2030,100,10,High,Performance,Rest Before Charge (hrs),0
CAES,2030,100,10,High,Performance,Rest After Discharge (hrs),0
CAES,2030,100,10,High,Performance,RTE (%),0.52
CAES,2030,100,10,High,Performance,Calendar Life (yrs),60
CAES,2030,100,10,High,Performance,Primary DOD (%),0.8
CAES,2030,100,10,High,Capital Cost,Total Installed Cost ($),131923000
CAES,2030,100,10,High,Capital Cost,Total Installed Cost ($/kW),1319.23
CAES,2030,100,10,High,Capital Cost,Total Installed Cost ($/kWh),131.92
CAES,2030,100,10,High,LCOS,LCOS_Project_Life (yrs),60
CAES,2030,100,10,High,LCOS,LCOS ($/kWh),0.1083
CAES,2030,100,10,Low,Capital Cost,"CAES Capital (Turbine, Compressor, BOP, & EPC Management) ($/kW)",944.04
CAES,2030,100,10,Low,Capital Cost,Cavern Storage ($/kWh),2.68
CAES,2030,100,10,Low,O&M Cost,Fixed O&M ($/kW-year),13.88
CAES,2030,100,10,Low,Performance,Rest Before Charge (hrs),0
CAES,2030,100,10,Low,Performance,Rest After Discharge (hrs),0
CAES,2030,100,10,Low,Performance,RTE (%),0.65
CAES,2030,100,10,Low,Performance,Calendar Life (yrs),60
